issueType,_id,uuid,name,missingName,missingDescription,missingIngredients,missingInstructions,dietaryRestrictions,tags
missing-detail,69b98d741e737b695ae9e76b,4376,180 gm sweet potato chaat,false,true,false,false,,
missing-detail,69bcd82a48e14596c12fb103,4388,Spearmint Tea,false,true,false,false,,
missing-detail,69bd1e7f12b8999e0ca0a7ba,4389,Dal with drumsticks,false,true,false,false,,
missing-detail,69be054ec6fde5ca3eb580ef,4391,apple detox water,false,true,false,false,,
missing-detail,69be0bfdc6fde5ca3eb58923,4392,orange detox water,false,true,false,false,,
missing-detail,69bf783ac6fde5ca3eb6b203,4394,Egg white veg Omellete,false,true,false,false,,
missing-detail,69c6312d231e5cea4128eb16,4497,CumiN GingeR LemoN HoneY WateR,false,true,false,false,,
missing-detail,69c7a47fe25d860ab3602482,4506,Elaichi water,false,true,false,false,,
missing-detail,69c7b6e2e25d860ab360db37,4507,Buttermilk Plain,false,true,false,false,,
missing-detail,69cb62d38465126b5e6af21e,4511,roasted fish,false,true,false,false,,
missing-detail,69ce48acce9a8c4c2a76b9bc,4521,🍋🌿 Mint Lemon Water,false,true,false,false,,
missing-detail,69ce65e6ce9a8c4c2a777f3f,4534,🌿 Bajra Porridge,false,true,false,false,,
missing-detail,69d625488f550e768e43e893,4624,WATERMELON SEEDS (DRY ROAST),false,true,false,false,,
missing-detail,69d7501f7a8881e566596897,4682,Dal,false,true,false,false,,
missing-detail,69d7535b7a8881e56659922a,4683,Quinoa Chickpea Salad,false,true,false,false,,
missing-detail,69d796de2a225b758d184192,4688,Multigrain bread Toast,false,true,false,false,,
missing-detail,69d8b521c6e3acb94f678732,4696,Ginger cinnamon clove water,false,true,false,false,,
missing-detail,69dce98bc8495119ac1fe9bf,4752,Barley Water,false,true,false,false,,
missing-detail,69df1cd07e80a79149f5b823,4764,sesame seed,false,true,false,false,,
missing-detail,69e07fdc4d77fc4b0b45c323,4769,chire,false,true,false,false,,
missing-detail,69e35d1d3cda2e680cb12606,4775,Epigamia greek yogurt,false,true,false,false,,
missing-detail,69e725ae6c543b320c9a1901,4798,Hing water,false,true,false,false,,
missing-detail,69e74eff6c543b320c9d8303,4800,Methi jeera water,false,true,false,false,,
missing-detail,69ecc50d90d87b1173879a52,4852,Egg white mushroom Omelette,false,true,false,false,,
missing-detail,69f06edee684ddc8988d6c76,4868,Paneer Veg Uttapam,false,true,false,false,,
missing-detail,69f32d58ec32233c4c3c2b2d,4871,Soya Chunk roll,false,true,false,false,,
missing-detail,69f32ed3ec32233c4c3c538c,4872,Veg Paneer wrap,false,true,false,false,,
missing-detail,69f47affec32233c4c481db2,4882,Chilli Chicken,false,true,false,false,,
missing-detail,69f47fd1ec32233c4c488706,4883,Ginger Cardamon water,false,true,false,false,,
